v,vw,o,c,h,l,t,n,date
39322017.0,252.4793,259.86,251.9,259.88,249.57,1658808000000,523732,2022-07-26 04:00:00
45987389.0,265.6154,261.16,268.74,270.05,258.85,1658894400000,539330,2022-07-27 04:00:00
33459327.0,274.291,269.75,276.41,277.84,267.87,1658980800000,413167,2022-07-28 04:00:00
32138752.0,279.8359,277.7,280.74,282.0,276.63,1659067200000,359385,2022-07-29 04:00:00
21539580.0,278.4445,277.82,278.01,281.28,275.84,1659326400000,296190,2022-08-01 04:00:00
22754184.0,274.9038,276.0,274.82,277.89,272.38,1659412800000,302750,2022-08-02 04:00:00
23518874.0,281.282,276.76,282.47,283.5,276.61,1659499200000,305573,2022-08-03 04:00:00
18098668.0,282.5465,281.8,283.65,283.8,280.1677,1659585600000,242902,2022-08-04 04:00:00
16774606.0,281.721,279.15,282.91,283.65,278.68,1659672000000,240178,2022-08-05 04:00:00
18757818.0,282.0016,284.05,280.32,285.92,279.32,1659931200000,258506,2022-08-08 04:00:00
23405238.0,281.3194,279.64,282.3,283.08,277.61,1660017600000,264734,2022-08-09 04:00:00
24652845.0,288.6242,288.17,289.16,289.81,286.94,1660104000000,301911,2022-08-10 04:00:00
20065938.0,288.1876,290.85,287.02,291.21,286.51,1660190400000,250692,2022-08-11 04:00:00
22619675.0,289.9108,288.48,291.91,291.91,286.94,1660276800000,236645,2022-08-12 04:00:00
18053154.0,292.4294,291.0,293.47,294.18,290.11,1660536000000,220400,2022-08-15 04:00:00
18102882.0,292.4112,291.99,292.71,294.04,290.42,1660622400000,238194,2022-08-16 04:00:00
18203358.0,291.3739,289.74,291.32,293.35,289.47,1660708800000,243421,2022-08-17 04:00:00
17032192.0,290.5375,290.189,290.17,291.91,289.08,1660795200000,220664,2022-08-18 04:00:00
20570033.0,286.8317,288.9,286.15,289.25,285.56,1660881600000,242758,2022-08-19 04:00:00
25061070.0,278.8803,282.08,277.75,282.46,277.22,1661140800000,291816,2022-08-22 04:00:00
17527409.0,276.841,276.44,276.44,278.86,275.4,1661227200000,216859,2022-08-23 04:00:00
18137019.0,276.0336,275.41,275.79,277.23,275.11,1661313600000,225085,2022-08-24 04:00:00
16583407.0,276.986,277.33,278.85,279.02,274.52,1661400000000,207794,2022-08-25 04:00:00
27549307.0,271.1515,279.08,268.09,280.34,267.98,1661486400000,333187,2022-08-26 04:00:00
20320044.0,265.6183,265.85,265.23,267.4,263.85,1661745600000,268266,2022-08-29 04:00:00
22767071.0,262.964,266.67,262.97,267.05,260.66,1661832000000,273161,2022-08-30 04:00:00
24791834.0,262.8825,265.39,261.47,267.11,261.33,1661918400000,273069,2022-08-31 04:00:00
23263431.0,258.2566,258.87,260.4,260.89,255.41,1662004800000,332384,2022-09-01 04:00:00
22855380.0,258.8321,261.695,256.06,264.74,254.47,1662091200000,308514,2022-09-02 04:00:00
21328242.0,254.1903,256.2,253.25,257.83,251.94,1662436800000,295717,2022-09-06 04:00:00
24126700.0,256.7283,254.7,258.09,258.83,253.22,1662523200000,259248,2022-09-07 04:00:00
20319911.0,257.6878,257.51,258.52,260.43,254.79,1662609600000,256506,2022-09-08 04:00:00
22093190.0,263.845,260.5,264.46,265.23,260.29,1662696000000,279508,2022-09-09 04:00:00
18747690.0,266.392,265.78,266.65,267.45,265.16,1662955200000,230393,2022-09-12 04:00:00
33353318.0,254.603,258.84,251.99,260.4,251.59,1663041600000,431420,2022-09-13 04:00:00
23912954.0,252.032,253.53,252.22,254.23,249.86,1663128000000,303097,2022-09-14 04:00:00
31530948.0,246.6039,249.77,245.38,251.4,244.02,1663214400000,437477,2022-09-15 04:00:00
39758168.0,243.9454,244.26,244.74,245.3,242.0627,1663300800000,363897,2022-09-16 04:00:00
26826931.0,243.2548,242.465,244.52,245.14,240.85,1663560000000,327277,2022-09-19 04:00:00
26660299.0,241.8909,242.065,242.45,243.51,239.64,1663646400000,322476,2022-09-20 04:00:00
28625557.0,242.6906,244.27,238.95,247.66,238.9,1663732800000,356095,2022-09-21 04:00:00
31058162.0,240.7113,237.8704,240.98,243.86,237.57,1663819200000,368591,2022-09-22 04:00:00
34126048.0,238.2822,239.54,237.92,241.13,235.2,1663905600000,402915,2022-09-23 04:00:00
27435190.0,238.5748,237.045,237.45,241.45,236.9,1664164800000,298277,2022-09-26 04:00:00
27018732.0,237.0677,239.98,236.41,241.8,234.5,1664251200000,313534,2022-09-27 04:00:00
28969679.0,239.2601,236.81,241.07,242.33,234.73,1664337600000,321343,2022-09-28 04:00:00
27467433.0,236.4609,238.89,237.5,239.95,234.41,1664424000000,324999,2022-09-29 04:00:00
