ds,y
2015-01-02,24.435270309448242
2015-01-05,23.746885299682617
2015-01-06,23.749122619628906
2015-01-07,24.082134246826172
2015-01-08,25.007427215576172
2015-01-09,25.03424644470215
2015-01-12,24.417387008666992
2015-01-13,24.634187698364258
2015-01-14,24.54031753540039
2015-01-15,23.874284744262695
2015-01-16,23.688772201538086
2015-01-20,24.29893684387207
2015-01-21,24.484447479248047
2015-01-22,25.121414184570312
2015-01-23,25.25104331970215
2015-01-26,25.27786636352539
2015-01-27,24.392797470092773
2015-01-28,25.771799087524414
2015-01-29,26.57416534423828
2015-01-30,26.185274124145508
2015-02-02,26.513818740844727
2015-02-03,26.518293380737305
2015-02-04,26.72167205810547
2015-02-05,26.912405014038086
2015-02-06,26.68577003479004
2015-02-09,26.863035202026367
2015-02-10,27.379119873046875
2015-02-11,28.02085304260254
2015-02-12,28.3753719329834
2015-02-13,28.514488220214844
2015-02-17,28.68277931213379
2015-02-18,28.882471084594727
2015-02-19,28.821887969970703
2015-02-20,29.057493209838867
2015-02-23,29.84283447265625
2015-02-24,29.65660285949707
2015-02-25,28.898181915283203
2015-02-26,29.263927459716797
2015-02-27,28.82413673400879
2015-03-02,28.96549415588379
2015-03-03,29.026081085205078
2015-03-04,28.842082977294922
2015-03-05,28.364154815673828
2015-03-06,28.406780242919922
2015-03-09,28.527950286865234
2015-03-10,27.93782615661621
2015-03-11,27.4284725189209
2015-03-12,27.924367904663086
2015-03-13,27.731393814086914
2015-03-16,28.03655242919922
2015-03-17,28.505512237548828
2015-03-18,28.82638168334961
2015-03-19,28.608732223510742
2015-03-20,28.249717712402344
2015-03-23,28.543664932250977
2015-03-24,28.426986694335938
2015-03-25,27.684268951416016
2015-03-26,27.877243041992188
2015-03-27,27.655107498168945
2015-03-30,28.355180740356445
2015-03-31,27.919872283935547
2015-04-01,27.879486083984375
2015-04-02,28.119577407836914
2015-04-06,28.575069427490234
2015-04-07,28.27440071105957
2015-04-08,28.18239974975586
2015-04-09,28.397808074951172
2015-04-10,28.51897430419922
2015-04-13,28.462881088256836
2015-04-14,28.3394775390625
2015-04-15,28.447174072265625
2015-04-16,28.310306549072266
2015-04-17,27.99168586730957
2015-04-20,28.63117218017578
2015-04-21,28.47634506225586
2015-04-22,28.860036849975586
2015-04-23,29.09563446044922
2015-04-24,29.232511520385742
2015-04-27,29.764299392700195
2015-04-28,29.29533576965332
2015-04-29,28.864524841308594
2015-04-30,28.081432342529297
2015-05-01,28.93408966064453
2015-05-04,28.877986907958984
2015-05-05,28.227279663085938
2015-05-06,28.05002212524414
2015-05-07,28.2235107421875
2015-05-08,28.755271911621094
2015-05-11,28.462352752685547
2015-05-12,28.3609561920166
2015-05-13,28.392501831054688
2015-05-14,29.054946899414062
2015-05-15,29.01439094543457
2015-05-18,29.3343505859375
2015-05-19,29.307296752929688
2015-05-20,29.305051803588867
2015-05-21,29.6047306060791
2015-05-22,29.86383628845215
2015-05-26,29.20590591430664
2015-05-27,29.751174926757812
2015-05-28,29.692590713500977
2015-05-29,29.3546199798584
2015-06-01,29.41320037841797
2015-06-02,29.282529830932617
2015-06-03,29.318561553955078
2015-06-04,29.147321701049805
2015-06-05,28.987342834472656
2015-06-08,28.795827865600586
2015-06-09,28.7102108001709
2015-06-10,29.039173126220703
2015-06-11,28.973831176757812
2015-06-12,28.65387725830078
2015-06-15,28.59754753112793
2015-06-16,28.750764846801758
2015-06-17,28.683168411254883
2015-06-18,28.81385612487793
2015-06-19,28.525442123413086
2015-06-22,28.75301742553711
2015-06-23,28.62232780456543
2015-06-24,28.86567497253418
2015-06-25,28.72823143005371
2015-06-26,28.559246063232422
2015-06-29,28.05902671813965
2015-06-30,28.26181983947754
2015-07-01,28.525442123413086
2015-07-02,28.489395141601562
2015-07-06,28.3902530670166
2015-07-07,28.32040023803711
2015-07-08,27.61740493774414
2015-07-09,27.054105758666992
2015-07-10,27.777381896972656
2015-07-13,28.313642501831055
2015-07-14,28.3023738861084
2015-07-15,28.57501220703125
2015-07-16,28.95580291748047
2015-07-17,29.20590591430664
2015-07-20,29.75794219970703
2015-07-21,29.460521697998047
2015-07-22,28.214502334594727
2015-07-23,28.20098114013672
2015-07-24,28.05226707458496
2015-07-27,27.662464141845703
2015-07-28,27.799911499023438
2015-07-29,27.7120418548584
2015-07-30,27.572343826293945
2015-07-31,27.331254959106445
2015-08-03,26.68684196472168
2015-08-04,25.830617904663086
2015-08-05,26.001867294311523
2015-08-06,26.058448791503906
2015-08-07,26.1467227935791
2015-08-10,27.09734535217285
2015-08-11,25.687255859375
2015-08-12,26.08334732055664
2015-08-13,26.0629825592041
2015-08-14,26.246305465698242
2015-08-17,26.517921447753906
2015-08-18,26.368528366088867
2015-08-19,26.031288146972656
2015-08-20,25.497127532958984
2015-08-21,23.937646865844727
2015-08-24,23.340112686157227
2015-08-25,23.480443954467773
2015-08-26,24.82716178894043
2015-08-27,25.558238983154297
2015-08-28,25.641986846923828
2015-08-31,25.522024154663086
2015-09-01,24.381275177001953
2015-09-02,25.426959991455078
2015-09-03,24.9810733795166
2015-09-04,24.732107162475586
2015-09-08,25.420169830322266
2015-09-09,24.9312801361084
2015-09-10,25.479021072387695
2015-09-11,25.8502197265625
2015-09-14,26.099191665649414
2015-09-15,26.318740844726562
2015-09-16,26.348159790039062
2015-09-17,25.784582138061523
2015-09-18,25.678199768066406
2015-09-21,26.076555252075195
2015-09-22,25.666879653930664
2015-09-23,25.875112533569336
2015-09-24,26.029022216796875
2015-09-25,25.9633846282959
2015-09-28,25.44959831237793
